STT,Mã t?nh (BNV),Tên t?nh/TP m?i,Mã t?nh (TMS),Mã Qu?n huy?n TMS (c?) CQT ?ã rà soát,Tên Qu?n huy?n TMS (c?),S? t? t?ng,Mã ph??ng/xã m?i ,Tên Ph??ng/Xã m?i,Tr?ng thái rà soát cu?i,
1647,17,T?nh Ngh? An,403,40315,Huy?n T??ng D??ng,113,40315113,Xã Nga My,,
1648,17,T?nh Ngh? An,403,40315,Huy?n T??ng D??ng,114,40315114,Xã H?u Khuông,,
1649,17,T?nh Ngh? An,403,40315,Huy?n T??ng D??ng,115,40315115,Xã Nhôn Mai,,
1650,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,116,40301116,Ph??ng Tr??ng Vinh,,
1651,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,117,40301117,Ph??ng Thành Vinh,,
1652,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,118,40301118,Ph??ng Vinh H?ng,,
1653,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,119,40301119,Ph??ng Vinh Phú,,
1654,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,120,40301120,Ph??ng Vinh L?c,,
1655,17,T?nh Ngh? An,403,40301,Thành ph? Vinh,121,40301121,Ph??ng C?a Lò,,
1656,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,122,40323122,Xã Yên Thành,,
1657,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,123,40323123,Xã Quan Thành,,
1658,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,124,40323124,Xã H?p Minh,,
1659,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,125,40323125,Xã Vân T?,,
1660,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,126,40323126,Xã Vân Du,,
1661,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,127,40323127,Xã Quang ??ng,,
1662,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,128,40323128,Xã Giai L?c,,
1663,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,129,40323129,Xã Bình Minh,,
1664,17,T?nh Ngh? An,403,40323,Huy?n Yên Thành,130,40323130,Xã ?ông Thành,,
1665,18,T?nh Hà T?nh,405,40520,Th? xã K? Anh,1,40520001,Ph??ng Sông Trí,,
1666,18,T?nh Hà T?nh,405,40520,Th? xã K? Anh,2,40520002,Ph??ng H?i Ninh,,
1667,18,T?nh Hà T?nh,405,40520,Th? xã K? Anh,3,40520003,Ph??ng Hoành S?n,,
1668,18,T?nh Hà T?nh,405,40520,Th? xã K? Anh,4,40520004,Ph??ng V?ng Áng,,
1669,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,5,40519005,Xã K? Xuân,,
1670,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,6,40519006,Xã K? Anh,,
1671,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,7,40519007,Xã K? Hoa,,
1672,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,8,40519008,Xã K? V?n,,
1673,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,9,40519009,Xã K? Khang,,
1674,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,10,40519010,Xã K? L?c,,
1675,18,T?nh Hà T?nh,405,40519,Huy?n K? Anh,11,40519011,Xã K? Th??ng,,
1676,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,12,40515012,Xã C?m Xuyên,,
1677,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,13,40515013,Xã Thiên C?m,,
1678,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,14,40515014,Xã C?m Du?,,
1679,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,15,40515015,Xã C?m H?ng,,
1680,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,16,40515016,Xã C?m L?c,,
1681,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,17,40515017,Xã C?m Trung,,
1682,18,T?nh Hà T?nh,405,40515,Huy?n C?m Xuyên,18,40515018,Xã Yên Hoà,,
1683,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,19,40501019,Ph??ng Thành Sen,,
1684,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,20,40501020,Ph??ng Tr?n Phú,,
1685,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,21,40501021,Ph??ng Hà Huy T?p,,
1686,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,22,40501022,Xã Th?ch L?c,,
1687,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,23,40501023,Xã ??ng Ti?n,,
1688,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,24,40501024,Xã Th?ch Khê,,
1689,18,T?nh Hà T?nh,405,40501,Thành ph? Hà T?nh,25,40501025,Xã C?m Bình,,
1690,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,26,40513026,Xã Th?ch Hà,,
1691,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,27,40513027,Xã Toàn L?u,,
1692,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,28,40513028,Xã Vi?t Xuyên,,
1693,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,29,40513029,Xã ?ông Kinh,,
1694,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,30,40513030,Xã Th?ch Xuân,,
1695,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,31,40513031,Xã L?c Hà,,
1696,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,32,40513032,Xã H?ng L?c,,
1697,18,T?nh Hà T?nh,405,40513,Huy?n Th?ch Hà,33,40513033,Xã Mai Ph?,,
1698,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,34,40511034,Xã Can L?c,,
1699,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,35,40511035,Xã Tùng L?c,,
1700,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,36,40511036,Xã Gia Hanh,,
1701,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,37,40511037,Xã Tr??ng L?u,,
1702,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,38,40511038,Xã Xuân L?c,,
1703,18,T?nh Hà T?nh,405,40511,Huy?n Can L?c,39,40511039,Xã ??ng L?c,,
1704,18,T?nh Hà T?nh,405,40503,Th? xã H?ng L?nh,40,40503040,Ph??ng B?c H?ng L?nh,,
1705,18,T?nh Hà T?nh,405,40503,Th? xã H?ng L?nh,41,40503041,Ph??ng Nam H?ng L?nh,,
1706,18,T?nh Hà T?nh,405,40505,Huy?n Nghi Xuân,42,40505042,Xã Tiên ?i?n,,
1707,18,T?nh Hà T?nh,405,40505,Huy?n Nghi Xuân,43,40505043,Xã Nghi Xuân,,
1708,18,T?nh Hà T?nh,405,40505,Huy?n Nghi Xuân,44,40505044,Xã C? ??m,,
1709,18,T?nh Hà T?nh,405,40505,Huy?n Nghi Xuân,45,40505045,Xã ?an H?i,,
1710,18,T?nh Hà T?nh,405,40507,Huy?n ??c Th?,46,40507046,Xã ??c Th?,,
1711,18,T?nh Hà T?nh,405,40507,Huy?n ??c Th?,47,40507047,Xã ??c Quang,,
1712,18,T?nh Hà T?nh,405,40507,Huy?n ??c Th?,48,40507048,Xã ??c ??ng,,
1713,18,T?nh Hà T?nh,405,40507,Huy?n ??c Th?,49,40507049,Xã ??c Th?nh,,
1714,18,T?nh Hà T?nh,405,40507,Huy?n ??c Th?,50,40507050,Xã ??c Minh,,
1715,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,51,40509051,Xã H??ng S?n,,
1716,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,52,40509052,Xã S?n Tây,,
1717,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,53,40509053,Xã T? M?,,
1718,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,54,40509054,Xã S?n Giang,,
1719,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,55,40509055,Xã S?n Ti?n,,
1720,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,56,40509056,Xã S?n H?ng,,
1721,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,57,40509057,Xã Kim Hoa,,
1722,18,T?nh Hà T?nh,405,40521,Huy?n V? Quang,58,40521058,Xã V? Quang,,
1723,18,T?nh Hà T?nh,405,40521,Huy?n V? Quang,59,40521059,Xã Mai Hoa,,
1724,18,T?nh Hà T?nh,405,40521,Huy?n V? Quang,60,40521060,Xã Th??ng ??c,,
1725,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,61,40517061,Xã H??ng Khê,,
1726,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,62,40517062,Xã H??ng Ph?,,
1727,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,63,40517063,Xã H??ng ?ô,,
1728,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,64,40517064,Xã Hà Linh,,
1729,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,65,40517065,Xã H??ng Bình,,
1730,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,66,40517066,Xã Phúc Tr?ch,,
1731,18,T?nh Hà T?nh,405,40517,Huy?n H??ng Khê,67,40517067,Xã H??ng Xuân,,
1732,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,68,40509068,Xã S?n Kim 1,,
1733,18,T?nh Hà T?nh,405,40509,Huy?n H??ng S?n,69,40509069,Xã S?n Kim 2,,
1771,19,T?nh Qu?ng Tr?,409,40701,Thành ph? ??ng H?i,1,40701001,Ph??ng ??ng H?i,,
1772,19,T?nh Qu?ng Tr?,409,40701,Thành ph? ??ng H?i,2,40701002,Ph??ng ??ng Thu?n,,
1773,19,T?nh Qu?ng Tr?,409,40701,Thành ph? ??ng H?i,3,40701003,Ph??ng ??ng S?n,,
1774,19,T?nh Qu?ng Tr?,409,40715,Th? xã Ba ??n,4,40715004,Xã Nam Gianh,,
1775,19,T?nh Qu?ng Tr?,409,40715,Th? xã Ba ??n,5,40715005,Xã Nam Ba ??n,,
1776,19,T?nh Qu?ng Tr?,409,40715,Th? xã Ba ??n,6,40715006,Ph??ng Ba ??n,,
1777,19,T?nh Qu?ng Tr?,409,40715,Th? xã Ba ??n,7,40715007,Ph??ng B?c Gianh,,
1778,19,T?nh Qu?ng Tr?,409,40705,Huy?n Minh Hoá,8,40705008,Xã Dân Hóa,,
1779,19,T?nh Qu?ng Tr?,409,40705,Huy?n Minh Hoá,9,40705009,Xã Kim ?i?n,,
1780,19,T?nh Qu?ng Tr?,409,40705,Huy?n Minh Hoá,10,40705010,Xã Kim Phú,,
1781,19,T?nh Qu?ng Tr?,409,40705,Huy?n Minh Hoá,11,40705011,Xã Minh Hóa,,
1782,19,T?nh Qu?ng Tr?,409,40705,Huy?n Minh Hoá,12,40705012,Xã Tân Thành,,
1783,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,13,40703013,Xã Tuyên Lâm,,
1784,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,14,40703014,Xã Tuyên S?n,,
1785,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,15,40703015,Xã ??ng Lê,,
1786,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,16,40703016,Xã Tuyên Phú,,
1787,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,17,40703017,Xã Tuyên Bình,,
1788,19,T?nh Qu?ng Tr?,409,40703,Huy?n Tuyên Hoá,18,40703018,Xã Tuyên Hóa,,
1789,19,T?nh Qu?ng Tr?,409,40707,Huy?n Qu?ng Tr?ch,19,40707019,Xã Tân Gianh,,
1790,19,T?nh Qu?ng Tr?,409,40707,Huy?n Qu?ng Tr?ch,20,40707020,Xã Trung Thu?n,,
1791,19,T?nh Qu?ng Tr?,409,40707,Huy?n Qu?ng Tr?ch,21,40707021,Xã Qu?ng Tr?ch,,
1792,19,T?nh Qu?ng Tr?,409,40707,Huy?n Qu?ng Tr?ch,22,40707022,Xã Hoà Tr?ch,,
1793,19,T?nh Qu?ng Tr?,409,40707,Huy?n Qu?ng Tr?ch,23,40707023,Xã Phú Tr?ch,,
1794,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,24,40709024,Xã Th??ng Tr?ch,,
1795,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,25,40709025,Xã Phong Nha,,
1796,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,26,40709026,Xã B?c Tr?ch,,
1797,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,27,40709027,Xã ?ông Tr?ch,,
1798,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,28,40709028,Xã Hoàn Lão,,
1799,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,29,40709029,Xã B? Tr?ch,,
1800,19,T?nh Qu?ng Tr?,409,40709,Huy?n B? Tr?ch,30,40709030,Xã Nam Tr?ch,,
1801,19,T?nh Qu?ng Tr?,409,40711,Huy?n Qu?ng Ninh,31,40711031,Xã Qu?ng Ninh,,
1802,19,T?nh Qu?ng Tr?,409,40711,Huy?n Qu?ng Ninh,32,40711032,Xã Ninh Châu,,
1803,19,T?nh Qu?ng Tr?,409,40711,Huy?n Qu?ng Ninh,33,40711033,Xã Tr??ng Ninh,,
1804,19,T?nh Qu?ng Tr?,409,40711,Huy?n Qu?ng Ninh,34,40711034,Xã Tr??ng S?n,,
1805,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,35,40713035,Xã L? Th?y,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
1806,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,36,40713036,Xã Cam H?ng,,
1807,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,37,40713037,Xã Sen Ng?,,
1808,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,38,40713038,Xã Tân M?,,
1809,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,39,40713039,Xã Tr??ng Phú,,
1810,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,40,40713040,Xã L? Ninh,,
1811,19,T?nh Qu?ng Tr?,409,40713,Huy?n L? Thu?,41,40713041,Xã Kim Ngân,,
1737,19,T?nh Qu?ng Tr?,409,40901,Thành ph? ?ông Hà,42,40901042,Ph??ng ?ông Hà,,
1738,19,T?nh Qu?ng Tr?,409,40901,Thành ph? ?ông Hà,43,40901043,Ph??ng Nam ?ông Hà,,B? d?u ch?m cu?i tên
1770,19,T?nh Qu?ng Tr?,409,40903,Th? xã Qu?ng Tr?,44,40903044,Ph??ng Qu?ng Tr?,,
1751,19,T?nh Qu?ng Tr?,409,40905,Huy?n V?nh Linh,45,40905045,Xã V?nh Linh,,mã 7 ký t?
1752,19,T?nh Qu?ng Tr?,409,40905,Huy?n V?nh Linh,46,40905046,Xã C?a Tùng,,mã 7 ký t?
1753,19,T?nh Qu?ng Tr?,409,40905,Huy?n V?nh Linh,47,40905047,Xã V?nh Hoàng,,mã 7 ký t?
1754,19,T?nh Qu?ng Tr?,409,40905,Huy?n V?nh Linh,48,40905048,Xã V?nh Th?y,,mã 7 ký t?
1755,19,T?nh Qu?ng Tr?,409,40905,Huy?n V?nh Linh,49,40905049,Xã B?n Quan,,mã 7 ký t?
1756,19,T?nh Qu?ng Tr?,409,40907,Huy?n Gio Linh,50,40907050,Xã C?n Tiên,,mã 7 ký t?
1757,19,T?nh Qu?ng Tr?,409,40907,Huy?n Gio Linh,51,40907051,Xã C?a Vi?t,,mã 7 ký t?
1758,19,T?nh Qu?ng Tr?,409,40907,Huy?n Gio Linh,52,40907052,Xã Gio Linh,,mã 7 ký t?
1759,19,T?nh Qu?ng Tr?,409,40907,Huy?n Gio Linh,53,40907053,Xã B?n H?i,,mã 7 ký t?
1739,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,54,40915054,Xã H??ng L?p,,
1740,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,55,40915055,Xã H??ng Phùng,,
1741,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,56,40915056,Xã Khe Sanh,,
1742,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,57,40915057,Xã Tân L?p,,
1743,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,58,40915058,Xã Lao B?o,,
1744,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,59,40915059,Xã Lìa,,
1745,19,T?nh Qu?ng Tr?,409,40915,Huy?n H??ng Hoá,60,40915060,Xã A D?i,,
1746,19,T?nh Qu?ng Tr?,409,40917,Huy?n ?a Krông,61,40917061,Xã La Lay,,
1747,19,T?nh Qu?ng Tr?,409,40917,Huy?n ?a Krông,62,40917062,Xã Tà R?t,,
1748,19,T?nh Qu?ng Tr?,409,40917,Huy?n ?a Krông,63,40917063,Xã ?akrông,,
1749,19,T?nh Qu?ng Tr?,409,40917,Huy?n ?a Krông,64,40917064,Xã Ba Lòng,,
1750,19,T?nh Qu?ng Tr?,409,40917,Huy?n ?a Krông,65,40917065,Xã H??ng Hi?p,,
1735,19,T?nh Qu?ng Tr?,409,40909,Huy?n Cam L?,66,40909066,Xã Cam L?,,
1736,19,T?nh Qu?ng Tr?,409,40909,Huy?n Cam L?,67,40909067,Xã Hi?u Giang,,
1760,19,T?nh Qu?ng Tr?,409,40911,Huy?n Tri?u Phong,68,40911068,Xã Tri?u Phong,,
1761,19,T?nh Qu?ng Tr?,409,40911,Huy?n Tri?u Phong,69,40911069,Xã Ái T?,,
1762,19,T?nh Qu?ng Tr?,409,40911,Huy?n Tri?u Phong,70,40911070,Xã Tri?u Bình,,
1763,19,T?nh Qu?ng Tr?,409,40911,Huy?n Tri?u Phong,71,40911071,Xã Tri?u C?,,
1764,19,T?nh Qu?ng Tr?,409,40911,Huy?n Tri?u Phong,72,40911072,Xã Nam C?a Vi?t,,
1765,19,T?nh Qu?ng Tr?,409,40913,Huy?n H?i L?ng,73,40913073,Xã Diên Sanh,,
1766,19,T?nh Qu?ng Tr?,409,40913,Huy?n H?i L?ng,74,40913074,Xã M? Th?y,,
1767,19,T?nh Qu?ng Tr?,409,40913,Huy?n H?i L?ng,75,40913075,Xã H?i L?ng,,
1768,19,T?nh Qu?ng Tr?,409,40913,Huy?n H?i L?ng,76,40913076,Xã V?nh ??nh,,
1769,19,T?nh Qu?ng Tr?,409,40913,Huy?n H?i L?ng,77,40913077,Xã Nam H?i L?ng,,
1734,19,T?nh Qu?ng Tr?,409,40919,Huy?n ??o C?n C?,78,40919078,??c khu C?n Co?,,
1812,20,Thành ph? Hu?,411,41109,Huy?n Phú Vang,1,41109001,Ph??ng Thu?n An,,
1813,20,Thành ph? Hu?,411,41119,Qu?n Phú Xuân,2,41119002,Ph??ng Hóa Châu,,
1814,20,Thành ph? Hu?,411,41109,Huy?n Phú Vang,3,41109003,Ph??ng M? Th??ng,,
1815,20,Thành ph? Hu?,411,41101,Qu?n Thu?n Hóa,4,41101004,Ph??ng V? D?,,
1816,20,Thành ph? Hu?,411,41101,Qu?n Thu?n Hóa,5,41101005,Ph??ng Thu?n Hóa,,
1817,20,Thành ph? Hu?,411,41101,Qu?n Thu?n Hóa,6,41101006,Ph??ng An C?u,,
1818,20,Thành ph? Hu?,411,41101,Qu?n Thu?n Hóa,7,41101007,Ph??ng Th?y Xuân,,
1819,20,Thành ph? Hu?,411,41119,Qu?n Phú Xuân,8,41119008,Ph??ng Kim Long,,
1820,20,Thành ph? Hu?,411,41119,Qu?n Phú Xuân,9,41119009,Ph??ng H??ng An,,
1821,20,Thành ph? Hu?,411,41119,Qu?n Phú Xuân,10,41119010,Ph??ng Phú Xuân,,
1822,20,Thành ph? Hu?,411,41107,Th? xã H??ng Trà,11,41107011,Ph??ng H??ng Trà,,
1823,20,Thành ph? Hu?,411,41107,Th? xã H??ng Trà,12,41107012,Ph??ng Kim Trà,,
1824,20,Thành ph? Hu?,411,41111,Th? xã H??ng Thu?,13,41111013,Ph??ng Thanh Th?y,,
1825,20,Thành ph? Hu?,411,41111,Th? xã H??ng Thu?,14,41111014,Ph??ng H??ng Th?y,,
1826,20,Thành ph? Hu?,411,41111,Th? xã H??ng Thu?,15,41111015,Ph??ng Phú Bài,,
1827,20,Thành ph? Hu?,411,41103,Th? xã Phong ?i?n,16,41103016,Ph??ng Phong ?i?n,,
1828,20,Thành ph? Hu?,411,41103,Th? xã Phong ?i?n,17,41103017,Ph??ng Phong Thái,,
1829,20,Thành ph? Hu?,411,41103,Th? xã Phong ?i?n,18,41103018,Ph??ng Phong Dinh,,
1830,20,Thành ph? Hu?,411,41103,Th? xã Phong ?i?n,19,41103019,Ph??ng Phong Phú,,
1831,20,Thành ph? Hu?,411,41105,Huy?n Qu?ng ?i?n,20,41105020,Ph??ng Phong Qu?ng,,
1832,20,Thành ph? Hu?,411,41105,Huy?n Qu?ng ?i?n,21,41105021,Xã ?an ?i?n,,
1833,20,Thành ph? Hu?,411,41105,Huy?n Qu?ng ?i?n,22,41105022,Xã Qu?ng ?i?n,,
1834,20,Thành ph? Hu?,411,41109,Huy?n Phú Vang,23,41109023,Xã Phú Vinh,,
1835,20,Thành ph? Hu?,411,41109,Huy?n Phú Vang,24,41109024,Xã Phú H?,,
1836,20,Thành ph? Hu?,411,41109,Huy?n Phú Vang,25,41109025,Xã Phú Vang,,
1837,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,26,41113026,Xã Vinh L?c,,
1838,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,27,41113027,Xã H?ng L?c,,
1839,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,28,41113028,Xã L?c An,,
1840,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,29,41113029,Xã Phú L?c,,
1841,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,30,41113030,Xã Chân Mây – L?ng Cô,,
1842,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,31,41113031,Xã Long Qu?ng,,
1843,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,32,41113032,Xã Nam ?ông,,
1844,20,Thành ph? Hu?,411,41113,Huy?n Phú L?c,33,41113033,Xã Khe Tre,,
1845,20,Thành ph? Hu?,411,41107,Th? xã H??ng Trà,34,41107034,Xã Bình ?i?n,,
1846,20,Thành ph? Hu?,411,41115,Huy?n A L??i,35,41115035,Xã A L??i 1,,
1847,20,Thành ph? Hu?,411,41115,Huy?n A L??i,36,41115036,Xã A L??i 2,,
1848,20,Thành ph? Hu?,411,41115,Huy?n A L??i,37,41115037,Xã A L??i 3,,
1849,20,Thành ph? Hu?,411,41115,Huy?n A L??i,38,41115038,Xã A L??i 4,,
1850,20,Thành ph? Hu?,411,41115,Huy?n A L??i,39,41115039,Xã A L??i 5,,
1851,20,Thành ph? Hu?,411,41101,Qu?n Thu?n Hóa,40,41101040,Ph??ng D??ng N?,,
1930,21,Tp ?à N?ng,501,50101,Qu?n H?i Châu,1,50101001,Ph??ng H?i Châu,,
1931,21,Tp ?à N?ng,501,50101,Qu?n H?i Châu,2,50101002,Ph??ng Hoà C??ng,,
1932,21,Tp ?à N?ng,501,50103,Qu?n Thanh Khê,3,50103003,Ph??ng Thanh Khê,,
1933,21,Tp ?à N?ng,501,50115,Qu?n C?m L?,4,50115004,Ph??ng An Khê,,
1934,21,Tp ?à N?ng,501,50105,Qu?n S?n Trà,5,50105005,Ph??ng An H?i,,
1935,21,Tp ?à N?ng,501,50105,Qu?n S?n Trà,6,50105006,Ph??ng S?n Trà,,
1936,21,Tp ?à N?ng,501,50107,Qu?n Ng? Hành S?n,7,50107007,Ph??ng Ng? Hành S?n,,
1937,21,Tp ?à N?ng,501,50109,Qu?n Liên Chi?u,8,50109008,Ph??ng Hoà Khánh,,
1938,21,Tp ?à N?ng,501,50109,Qu?n Liên Chi?u,9,50109009,Ph??ng H?i Vân,,
1939,21,Tp ?à N?ng,501,50109,Qu?n Liên Chi?u,10,50109010,Ph??ng Liên Chi?u,,
1940,21,Tp ?à N?ng,501,50115,Qu?n C?m L?,11,50115011,Ph??ng C?m L?,,
1941,21,Tp ?à N?ng,501,50111,Huy?n Hoà Vang,12,50111012,Ph??ng Hoà Xuân,,
1942,21,Tp ?à N?ng,501,50111,Huy?n Hoà Vang,13,50111013,Xã Hoà Vang,,
1943,21,Tp ?à N?ng,501,50111,Huy?n Hoà Vang,14,50111014,Xã Hoà Ti?n,,
1944,21,Tp ?à N?ng,501,50111,Huy?n Hoà Vang,15,50111015,Xã Bà Nà,,
1945,21,Tp ?à N?ng,501,50113,Huy?n ??o Hoàng Sa,16,50113016,??c khu Hoàng Sa,,
1852,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,17,50325017,Xã Núi Thành,,
1853,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,18,50325018,Xã Tam M?,,
1854,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,19,50325019,Xã Tam Anh,,
1855,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,20,50325020,Xã ??c Phú,,
1856,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,21,50325021,Xã Tam Xuân,,
1857,21,Tp ?à N?ng,501,50325,Huy?n Núi Thành,22,50325022,Xã Tam H?i,,
1858,21,Tp ?à N?ng,501,50301,Thành ph? Tam K?,23,50301023,Ph??ng Tam K?,,
1859,21,Tp ?à N?ng,501,50301,Thành ph? Tam K?,24,50301024,Ph??ng Qu?ng Phú,,
1860,21,Tp ?à N?ng,501,50301,Thành ph? Tam K?,25,50301025,Ph??ng H??ng Trà,,
1861,21,Tp ?à N?ng,501,50301,Thành ph? Tam K?,26,50301026,Ph??ng Bàn Th?ch,,
1862,21,Tp ?à N?ng,501,50302,Huy?n Phú Ninh,27,50302027,Xã Tây H?,,
1863,21,Tp ?à N?ng,501,50302,Huy?n Phú Ninh,28,50302028,Xã Chiên ?àn,,
1864,21,Tp ?à N?ng,501,50302,Huy?n Phú Ninh,29,50302029,Xã Phú Ninh,,
1865,21,Tp ?à N?ng,501,50321,Huy?n Tiên Ph??c,30,50321030,Xã Lãnh Ng?c,,
1866,21,Tp ?à N?ng,501,50321,Huy?n Tiên Ph??c,31,50321031,Xã Tiên Ph??c,,
1867,21,Tp ?à N?ng,501,50321,Huy?n Tiên Ph??c,32,50321032,Xã Th?nh Bình,,
1868,21,Tp ?à N?ng,501,50321,Huy?n Tiên Ph??c,33,50321033,Xã S?n C?m Hà,,
1869,21,Tp ?à N?ng,501,50327,Huy?n B?c Trà My,34,50327034,Xã Trà Liên,,
1870,21,Tp ?à N?ng,501,50327,Huy?n B?c Trà My,35,50327035,Xã Trà Giáp,,
1871,21,Tp ?à N?ng,501,50327,Huy?n B?c Trà My,36,50327036,Xã Trà Tân,,
1872,21,Tp ?à N?ng,501,50327,Huy?n B?c Trà My,37,50327037,Xã Trà ??c,,
1873,21,Tp ?à N?ng,501,50327,Huy?n B?c Trà My,38,50327038,Xã Trà My,,
1874,21,Tp ?à N?ng,501,50329,Huy?n Nam Trà My,39,50329039,Xã Nam Trà My,,
1875,21,Tp ?à N?ng,501,50329,Huy?n Nam Trà My,40,50329040,Xã Trà T?p,,
1876,21,Tp ?à N?ng,501,50329,Huy?n Nam Trà My,41,50329041,Xã Trà Vân,,
1877,21,Tp ?à N?ng,501,50329,Huy?n Nam Trà My,42,50329042,Xã Trà Linh,,
